tag,example_response,count
desire.belly,"Weight management, particularly around tummy, hips. And exercise regimen",1
desire.belly,Trying to lose belly fat. Not feel so tired,1
desire.belly,The belly apron,1
desire.belly,Loose weight around my stomach,1
desire.belly,I need to lose 40 # and get rid of my belly,1
desire.belly,I am active for my age and eat healthy but cannot drop the 10 pounds. I am not used to a belly like I have and I am uncomfortable. Its not a huge amount but I spend so much time abd energy on this. .,1
desire.disease_control,weight loss to keep A1C down and get my BMI to a healthy level,1
desire.disease_control,finding the cause and what type of eating style is best for CKD,1
desire.disease_control,Will help my heart,1
desire.disease_control,"What are the side effects of using GLP1, when I have cirrhosis.",1
desire.disease_control,Weight loss for my health. Very hard to walk long distances and also have COPD and the weight is very hard on me,1
desire.disease_control,Weight loss during care for congestive heart failure,1
desire.disease_control,Weight loss and sleep apena,1
desire.disease_control,"To lose weight to prevent knee pains, diabetes, and other diseases",1
desire.energy,"weight loss, energy",1
desire.energy,"Yes, I’m I wake up tired in the morning and then I’m tired all day and then I wake up late in the afternoon where my body wakes up and I can function and I need to lose some weight 20 pounds",1
desire.energy,Would like to lose weight so I would have more energy to do things feel better about myself. I used to work out when I was younger.,1
desire.energy,"Weight loss, Skin tightening & energy",1
desire.energy,Weight loss & energy,1
desire.energy,Weight fatigue chronic pain,1
desire.energy,"Weight Management, Chronic Pain Management, Fatiga & Vertigo",1
desire.energy,"Weight Loss, lack of energy & bloating",1
desire.general_health,slow a steady pace  keeping healthy,1
desire.general_health,living a healthier lifestyle,1
desire.general_health,"What is the safest and most effective plan for me to lose fat while preserving muscle, bone density, and overall health?",1
desire.general_health,"To lose weight to prevent knee pains, diabetes, and other diseases",1
desire.general_health,Things to do to be healthy,1
desire.general_health,Prevention,1
desire.general_health,Losing auto get healthy,1
desire.general_health,I really need to loose weight and the diet has to be kidney friendly since my kidney level is stage 3 and my goal is to prevent it from going above that stage if I can with diet which will help keep my diabetes level in pre-diabetes hopefully.,1
desire.maintenance,Lose weight and keep it off,4
desire.maintenance,Keeping it off,3
desire.maintenance,Maintaining weight loss,2
desire.maintenance,Losing weight and keeping it off,2
desire.maintenance,Keep it off,2
desire.maintenance,How to lose weight and keep it off,2
desire.maintenance,How to keep weight off,2
desire.maintenance,"weight maintenance, I have lost 60 lbs in past year but need help to maintain the loss",1
desire.medication_interest,GLP-1,2
desire.medication_interest,weight loss medication cost,1
desire.medication_interest,can i get on the GLP-1 program?  I am on the Bold exercise program through Kaiser,1
desire.medication_interest,Why does weight loss meds not work,1
desire.medication_interest,"What are the side effects of using GLP1, when I have cirrhosis.",1
desire.medication_interest,Weight loss meds,1
desire.medication_interest,Wei8 maintenance after the pill.  Site effects associated when taking the pill if any.,1
desire.medication_interest,"Wegovy from Hers is not working 
About 4 years ago, I did very well on monjaro",1
desire.muscle_strength,the types of resistance excercises that I would need to do to keep from losing muscle,1
desire.muscle_strength,"What is the safest and most effective plan for me to lose fat while preserving muscle, bone density, and overall health?",1
desire.muscle_strength,What can help me get stronger and eat foods so I dont gain weight,1
desire.muscle_strength,"Weight loss,  nutrition and building muscle",1
desire.muscle_strength,Weight loss and reverse current muscle loss,1
desire.muscle_strength,Weigh loss without loss of strength; better ease of managing chronic illnesses and lack of good balance; better diet with lack of good nutrition.,1
desire.muscle_strength,To lose fat and gain strength,1
desire.muscle_strength,Some weight loss without muscle loss. Energy back. General well being,1
desire.pain_mobility,weight loss or surgery,1
desire.pain_mobility,"Weight management, particularly around tummy, hips. And exercise regimen",1
desire.pain_mobility,Weight management and neck low back pain,1
desire.pain_mobility,Weight loss.and pain control,1
desire.pain_mobility,"Weight loss, aches and pains. Any side effects?",1
desire.pain_mobility,Weight loss for my health. Very hard to walk long distances and also have COPD and the weight is very hard on me,1
desire.pain_mobility,Weight loss and joint pain,1
desire.pain_mobility,Weight loss and back pain,1
desire.plan_guidance,my weight and i love food,1
desire.plan_guidance,"eating healthy, losing weight",1
desire.plan_guidance,can i get on the GLP-1 program?  I am on the Bold exercise program through Kaiser,1
desire.plan_guidance,Yo yo dieting,1
desire.plan_guidance,Working in exercise,1
desire.plan_guidance,"Why even eating proper foods, no processed foods,intermittent fasting cannot seem to lose weight",1
desire.plan_guidance,"Why did the first time tell me I “was approved” but then when it got to this part and I asked a few questions told me I wasn’t approved, except for some kind of exercise program",1
desire.plan_guidance,Why I don’t loose weight even when I eat small portions,1
desire.specific_target,"weight maintenance, I have lost 60 lbs in past year but need help to maintain the loss",1
desire.specific_target,only want to lose 20 lbs max. then would it be possible to go on maintence?,1
desire.specific_target,"Yes, I’m I wake up tired in the morning and then I’m tired all day and then I wake up late in the afternoon where my body wakes up and I can function and I need to lose some weight 20 pounds",1
desire.specific_target,Would like to lose 60 lbs and concerned with loose skin after weight lose,1
desire.specific_target,Want to loss 40 pounds and keep it off,1
desire.specific_target,To lose about 25 lbs and keep it off,1
desire.specific_target,To be able to loose 20 pounds,1
desire.specific_target,Tired of being overweight..I’m at 114…I’d like to get down to 90/95.,1
desire.weight_loss,Weight loss,38
desire.weight_loss,Losing weight,13
desire.weight_loss,Lose weight,7
desire.weight_loss,Weight,6
desire.weight_loss,Lose weight and keep it off,4
desire.weight_loss,Weight management,3
desire.weight_loss,weight loss,2
desire.weight_loss,Weight loss management,2
question.cost_coverage,weight loss medication cost,1
question.cost_coverage,Weight loss for a cheaper price!,1
question.cost_coverage,Weight loss and cost of medication.,1
question.cost_coverage,To get my zepbound injections at a $50.00 a month.,1
question.cost_coverage,The cost,1
question.cost_coverage,"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1
question.cost_coverage,Price?,1
question.cost_coverage,Payments,1
question.duration,Will it come back after I go offit,1
question.duration,Making plans for hitting my goal of 170 pounds and maintaining it for life,1
question.duration,Long term weight management,1
question.duration,"Is medication indefinite?
Side effects?",1
question.duration,"If I will need to be on it forever.
Also, why is it so difficult for me to lose weight.",1
question.duration,"I was taking wegovy, for 3 months and the insurance didn’t cover me any more, do to government changes on the plan. I have Medicare and Tri-Care for life, I see you said here I was eligible for the medicar, but what about Tri-Care, will the cover it?",1
question.duration,"How to safely lose and keep the weight off.  When I stop taking diet pills, I stay hungry all the time and I constantly eat.",1
question.duration,How long to lose weight and the cost,1
question.eligibility,can i get on the GLP-1 program?  I am on the Bold exercise program through Kaiser,1
question.eligibility,Qualification,1
question.eligibility,If i can get this extra weight off my legs and back won't hurt so bad and I'll be able to walk better,1
question.eligibility,If I qualify for the weight loss program,1
question.eligibility,"I was taking wegovy, for 3 months and the insurance didn’t cover me any more, do to government changes on the plan. I have Medicare and Tri-Care for life, I see you said here I was eligible for the medicar, but what about Tri-Care, will the cover it?",1
question.eligibility,Getting on glp,1
question.eligibility,Eligibility for GLP1,1
question.how_it_works,What medication I can take for weight loss.,1
question.how_it_works,What is your medication exactly,1
question.how_it_works,What is Bold?,1
question.how_it_works,What does the medicine actually do,1
question.how_it_works,"Just how it works. What are side effects, etc",1
question.how_it_works,How will this effect my body?,1
question.how_it_works,How this affects blood pressure,1
question.how_it_works,How the weight loss medication works.,1
question.interactions,Ned something to get weight off that I can take with all my medications,1
question.interactions,"I take several Parkinson’s Disease medications, am I allowed to take GLP-1?",1
question.interactions,"I have no thyroid and take Armour thyroid medication. 
I have extreme difficulty losing weight and keeping my weight level.",1
question.interactions,I have Parkinson’s disease and my medication,1
question.interactions,I don’t want anything that will make me feel bad or interfere with my letrozole (cancer medication),1
question.interactions,I desperately need estradiol & testosterone replacement therapy plus weight loss,1
question.modality,side effects. best injection site.,1
question.modality,Wei8 maintenance after the pill.  Site effects associated when taking the pill if any.,1
question.modality,To get my zepbound injections at a $50.00 a month.,1
question.modality,The advancement on the shots was too slow to help me lose weight as I should,1
question.modality,"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1
question.modality,Something that will help move the needle,1
question.modality,Pills not injecting,1
question.modality,Pill form weight loss,1
question.safety,"Why did the first time tell me I “was approved” but then when it got to this part and I asked a few questions told me I wasn’t approved, except for some kind of exercise program",1
question.safety,The safety of glp,1
question.safety,The risks associated with GLP1,1
question.safety,Safety,1
question.safety,Is it safe,1
question.safety,I want something safe,1
question.safety,How safe is it?  Will it caused the skeleton face?,1
question.safety,Has this been approved & is it safe? Not just something made up and thrown together for $$$?,1
question.side_effects,Side effects,4
question.side_effects,Side affects,2
question.side_effects,side effects. best injection site.,1
question.side_effects,Will it cause nausea,1
question.side_effects,"What are the side effects of using GLP1, when I have cirrhosis.",1
question.side_effects,"Weight loss, aches and pains. Any side effects?",1
question.side_effects,Weight loss and constapation,1
question.side_effects,Wei8 maintenance after the pill.  Site effects associated when taking the pill if any.,1
segment.current_glp1,can i get on the GLP-1 program?  I am on the Bold exercise program through Kaiser,1
segment.current_glp1,That is equivalent to Mounjaro. Starting at same dose I am currently on.,1
segment.current_glp1,Taking GLP-1,1
segment.current_glp1,Still hungry. On 12.5 zepbound. No energy,1
segment.current_glp1,Im plateau on semaglutide for a few months. I recently started on terzepatide. I don't feel like it's working as well and it's difficult to communicate with the provider,1
segment.current_glp1,I take a glp-1,1
segment.current_glp1,I have been on tirzepitide for 6 months with a 35 pound loss. I need to get on maintenance so I don’t gain back weight,1
segment.current_glp1,I am stuck with my weight loss even with still taking the GLP shots.  I have lost 30 pounds.  The dosage has only changed once.,1
segment.lapsed,"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1
segment.lapsed,I was up to 1. 0om Wygovy before,1
segment.lapsed,"I was taking wegovy, for 3 months and the insurance didn’t cover me any more, do to government changes on the plan. I have Medicare and Tri-Care for life, I see you said here I was eligible for the medicar, but what about Tri-Care, will the cover it?",1
segment.lapsed,"I took terzepitide for 5 months in 2024, but the monthly fee forJumpstart ($325/month) plus the cost of the compounded drug became too expensive.  I lost weight (down to 215), tolerated the drug, and was comfortable with the routine.
My primary care MD",1
segment.lapsed,Getting back on Zepbound,1
segment.maintenance_phase,"weight maintenance, I have lost 60 lbs in past year but need help to maintain the loss",1
segment.maintenance_phase,"I took terzepitide for 5 months in 2024, but the monthly fee forJumpstart ($325/month) plus the cost of the compounded drug became too expensive.  I lost weight (down to 215), tolerated the drug, and was comfortable with the routine.
My primary care MD",1
segment.maintenance_phase,"I have lost 10 pounds but would like to lose another 10, but have plateaued at current weight. I’d like to  maintain muscle and lose fat. I exercise a lot. I have Hashimotos thyrouditis controlled with thyroid med",1
segment.maintenance_phase,I have been following a diet given to me by a weight management doctor. I have been on it since October of last year. I weighed 168 and now weigh 144. I have not lost any weight in the last few months. I do not eat meat and have stayed close to my diet.,1
segment.maintenance_phase,I had gastric bypass in 2002 lost 180lb I had to exercise everyday. When I had a hernia repair and extra skin removed I could no longer work out. Slowly I began to gain again. Now my hernia is back bigger than before and my weight keeps going up.,1
segment.maintenance_phase,I am stuck with my weight loss even with still taking the GLP shots.  I have lost 30 pounds.  The dosage has only changed once.,1
segment.maintenance_phase,How to maintain once I’ve lost,1
segment.maintenance_phase,Currently on tirzepitide and getting close to my weight goal but want to maintain after reaching my goal,1
segment.modest_goal,only want to lose 20 lbs max. then would it be possible to go on maintence?,1
segment.modest_goal,"Yes, I’m I wake up tired in the morning and then I’m tired all day and then I wake up late in the afternoon where my body wakes up and I can function and I need to lose some weight 20 pounds",1
segment.modest_goal,To be able to loose 20 pounds,1
segment.modest_goal,"The Glo 1 I was taking- shot- 10ml I only lost 8 lbs - 1000.$ and 3 mos. - no side effects 
What can I expect from this med?",1
segment.modest_goal,"Physically disabled  ( hip problem, I  use a walker)but want to loose at least  20 lbs,hoping the weight loss will help decrease the joint pain, and Ostio arthritis.",1
segment.modest_goal,Need to get 20 pounds off. Lack of energy,1
segment.modest_goal,Losing 8-10 pounds,1
segment.modest_goal,Losing 15 pounds.,1
segment.naive_curious,I’d like to try Weight loss medication,1
segment.naive_curious,"How to help me lose 50 pounds. I’m scared of the GLP one medication, but I’m willing to try the pill.",1
tier0.nonanswer,Not sure,3
tier0.nonanswer,Nothing,2
tier0.nonanswer,No sure,1
tier0.nonanswer,No,1
tier0.nonanswer,I am not sute,1
tier0.nonanswer,He,1
tier0.nonanswer,Don’t know what to ask,1
